home_team,away_team,home_goals,away_goals,result,season
Tottenham Hotspur   ,Manchester City  ,0,1,A,2018-2019
Arsenal   ,Liverpool  ,1,1,D,2018-2019
AFC Bournemouth   ,Manchester United  ,1,2,A,2018-2019
Cardiff City   ,Leicester City  ,0,1,A,2018-2019
Everton    ,Brighton and Hove Albion  ,3,1,H,2018-2019
Newcastle United   ,Watford  ,1,0,H,2018-2019
West Ham United   ,Burnley  ,4,2,H,2018-2019
Wolverhampton Wanderers   ,Tottenham Hotspur  ,2,3,A,2018-2019
Chelsea   ,Crystal Palace  ,3,1,H,2018-2019
Manchester City   ,Southampton  ,6,1,H,2018-2019
Huddersfield Town AFC   ,Fulham  ,1,0,H,2018-2019
Cardiff City   ,Brighton and Hove Albion  ,2,1,H,2018-2019
Crystal Palace   ,Tottenham Hotspur  ,0,1,A,2018-2019
Huddersfield Town AFC   ,West Ham United  ,1,1,D,2018-2019
Leicester City   ,Burnley  ,0,0,D,2018-2019
Newcastle United   ,AFC Bournemouth  ,2,1,H,2018-2019
Southampton   ,Watford  ,1,1,D,2018-2019
Arsenal   ,Wolverhampton Wanderers  ,1,1,D,2018-2019
Chelsea   ,Everton   ,0,0,D,2018-2019
Liverpool   ,Fulham  ,2,0,H,2018-2019
Manchester City   ,Manchester United  ,3,1,H,2018-2019
Brighton and Hove Albion   ,Leicester City  ,1,1,D,2018-2019
Everton    ,Cardiff City  ,1,0,H,2018-2019
Fulham   ,Southampton  ,3,2,H,2018-2019
Manchester United   ,Crystal Palace  ,0,0,D,2018-2019
Tottenham Hotspur   ,Chelsea  ,3,1,H,2018-2019
Watford   ,Liverpool  ,0,3,A,2018-2019
West Ham United   ,Manchester City  ,0,4,A,2018-2019
AFC Bournemouth   ,Arsenal  ,1,2,A,2018-2019
Wolverhampton Wanderers   ,Huddersfield Town AFC  ,0,2,A,2018-2019
Burnley   ,Newcastle United  ,1,2,A,2018-2019
Cardiff City   ,Wolverhampton Wanderers  ,2,1,H,2018-2019
Crystal Palace   ,Burnley  ,2,0,H,2018-2019
Huddersfield Town AFC   ,Brighton and Hove Albion  ,1,2,A,2018-2019
Leicester City   ,Watford  ,2,0,H,2018-2019
Manchester City   ,AFC Bournemouth  ,3,1,H,2018-2019
Newcastle United   ,West Ham United  ,0,3,A,2018-2019
Southampton   ,Manchester United  ,2,2,D,2018-2019
Arsenal   ,Tottenham Hotspur  ,4,2,H,2018-2019
Chelsea   ,Fulham  ,2,0,H,2018-2019
Liverpool   ,Everton   ,1,0,H,2018-2019
AFC Bournemouth   ,Huddersfield Town AFC  ,2,1,H,2018-2019
Brighton and Hove Albion   ,Crystal Palace  ,3,1,H,2018-2019
Watford   ,Manchester City  ,1,2,A,2018-2019
West Ham United   ,Cardiff City  ,3,1,H,2018-2019
Burnley   ,Liverpool  ,1,3,A,2018-2019
Everton    ,Newcastle United  ,1,1,D,2018-2019
Fulham   ,Leicester City  ,1,1,D,2018-2019
Manchester United   ,Arsenal  ,2,2,D,2018-2019
Tottenham Hotspur   ,Southampton  ,3,1,H,2018-2019
Wolverhampton Wanderers   ,Chelsea  ,2,1,H,2018-2019
Arsenal   ,Huddersfield Town AFC  ,1,0,H,2018-2019
AFC Bournemouth   ,Liverpool  ,0,4,A,2018-2019
