name,round,season,win
Juventus,1,19-20,W
FC Barcelona,1,19-20,L
Juventus,2,19-20,W
FC Barcelona,2,19-20,W
Juventus,3,19-20,D
FC Barcelona,3,19-20,D
Juventus,4,19-20,W
FC Barcelona,4,19-20,W
Juventus,5,19-20,W
FC Barcelona,5,19-20,L
