home_team,away_team,home_goals,away_goals,result,season
Southampton,Watford,1,1,D,2018-2019
Arsenal,WolverhamptonWanderers,1,1,D,2018-2019
Chelsea,Everton,0,0,D,2018-2019
Liverpool,Fulham,2,0,H,2018-2019
ManchesterCity,ManchesterUnited,3,1,H,2018-2019
BrightonandHoveAlbion,LeicesterCity,1,1,D,2018-2019
Everton,CardiffCity,1,0,H,2018-2019
Fulham,Southampton,3,2,H,2018-2019
ManchesterUnited,CrystalPalace,0,0,D,2018-2019
TottenhamHotspur,Chelsea,3,1,H,2018-2019
Watford,Liverpool,0,3,A,2018-2019
WestHamUnited,ManchesterCity,0,4,A,2018-2019
AFCBournemouth,Arsenal,1,2,A,2018-2019
WolverhamptonWanderers,HuddersfieldTownAFC,0,2,A,2018-2019
Burnley,NewcastleUnited,1,2,A,2018-2019
CardiffCity,WolverhamptonWanderers,2,1,H,2018-2019
CrystalPalace,Burnley,2,0,H,2018-2019
HuddersfieldTownAFC,BrightonandHoveAlbion,1,2,A,2018-2019
LeicesterCity,Watford,2,0,H,2018-2019
ManchesterCity,AFCBournemouth,3,1,H,2018-2019
NewcastleUnited,WestHamUnited,0,3,A,2018-2019
Southampton,ManchesterUnited,2,2,D,2018-2019
Arsenal,TottenhamHotspur,4,2,H,2018-2019
Chelsea,Fulham,2,0,H,2018-2019
Liverpool,Everton,1,0,H,2018-2019
AFCBournemouth,HuddersfieldTownAFC,2,1,H,2018-2019
BrightonandHoveAlbion,CrystalPalace,3,1,H,2018-2019
Watford,ManchesterCity,1,2,A,2018-2019
WestHamUnited,CardiffCity,3,1,H,2018-2019
Burnley,Liverpool,1,3,A,2018-2019
Everton,NewcastleUnited,1,1,D,2018-2019
Fulham,LeicesterCity,1,1,D,2018-2019
ManchesterUnited,Arsenal,2,2,D,2018-2019
TottenhamHotspur,Southampton,3,1,H,2018-2019
WolverhamptonWanderers,Chelsea,2,1,H,2018-2019
Arsenal,HuddersfieldTownAFC,1,0,H,2018-2019
AFCBournemouth,Liverpool,0,4,A,2018-2019
Burnley,BrightonandHoveAlbion,1,0,H,2018-2019
CardiffCity,Southampton,1,0,H,2018-2019
Chelsea,ManchesterCity,2,0,H,2018-2019
LeicesterCity,TottenhamHotspur,0,2,A,2018-2019
ManchesterUnited,Fulham,4,1,H,2018-2019
WestHamUnited,CrystalPalace,3,2,H,2018-2019
NewcastleUnited,WolverhamptonWanderers,1,2,A,2018-2019
Everton,Watford,2,2,D,2018-2019
CrystalPalace,LeicesterCity,1,0,H,2018-2019
Fulham,WestHamUnited,0,2,A,2018-2019
HuddersfieldTownAFC,NewcastleUnited,0,1,A,2018-2019
ManchesterCity,Everton,3,1,H,2018-2019
TottenhamHotspur,Burnley,1,0,H,2018-2019
Watford,CardiffCity,3,2,H,2018-2019
WolverhamptonWanderers,AFCBournemouth,2,0,H,2018-2019
BrightonandHoveAlbion,Chelsea,1,2,A,2018-2019
Liverpool,ManchesterUnited,3,1,H,2018-2019
Southampton,Arsenal,3,2,H,2018-2019
WolverhamptonWanderers,Liverpool,0,2,A,2018-2019
Arsenal,Burnley,3,1,H,2018-2019
AFCBournemouth,BrightonandHoveAlbion,2,0,H,2018-2019
CardiffCity,ManchesterUnited,1,5,A,2018-2019
Chelsea,LeicesterCity,0,1,A,2018-2019
HuddersfieldTownAFC,Southampton,1,3,A,2018-2019
ManchesterCity,CrystalPalace,2,3,A,2018-2019
NewcastleUnited,Fulham,0,0,D,2018-2019
WestHamUnited,Watford,0,2,A,2018-2019
Everton,TottenhamHotspur,2,6,A,2018-2019
BrightonandHoveAlbion,Arsenal,1,1,D,2018-2019
Burnley,Everton,1,5,A,2018-2019
CrystalPalace,CardiffCity,0,0,D,2018-2019
Fulham,WolverhamptonWanderers,1,1,D,2018-2019
LeicesterCity,ManchesterCity,2,1,H,2018-2019
Liverpool,NewcastleUnited,4,0,H,2018-2019
ManchesterUnited,HuddersfieldTownAFC,3,1,H,2018-2019
TottenhamHotspur,AFCBournemouth,5,0,H,2018-2019
Watford,Chelsea,1,2,A,2018-2019
Southampton,WestHamUnited,1,2,A,2018-2019
BrightonandHoveAlbion,Everton,1,0,H,2018-2019
Fulham,HuddersfieldTownAFC,1,0,H,2018-2019
LeicesterCity,CardiffCity,0,1,A,2018-2019
Liverpool,Arsenal,5,1,H,2018-2019
TottenhamHotspur,WolverhamptonWanderers,1,3,A,2018-2019
Watford,NewcastleUnited,1,1,D,2018-2019
Burnley,WestHamUnited,2,0,H,2018-2019
CrystalPalace,Chelsea,0,1,A,2018-2019
ManchesterUnited,AFCBournemouth,4,1,H,2018-2019
Southampton,ManchesterCity,1,3,A,2018-2019
Arsenal,Fulham,4,1,H,2018-2019
CardiffCity,TottenhamHotspur,0,3,A,2018-2019
Everton,LeicesterCity,0,1,A,2018-2019
AFCBournemouth,Watford,3,3,D,2018-2019
Chelsea,Southampton,0,0,D,2018-2019
HuddersfieldTownAFC,Burnley,1,2,A,2018-2019
NewcastleUnited,ManchesterUnited,0,2,A,2018-2019
WestHamUnited,BrightonandHoveAlbion,2,2,D,2018-2019
WolverhamptonWanderers,CrystalPalace,0,2,A,2018-2019
ManchesterCity,Liverpool,2,1,H,2018-2019
BrightonandHoveAlbion,Liverpool,0,1,A,2018-2019
Burnley,Fulham,2,1,H,2018-2019
CardiffCity,HuddersfieldTownAFC,0,0,D,2018-2019
Chelsea,NewcastleUnited,2,1,H,2018-2019
CrystalPalace,Watford,1,2,A,2018-2019
LeicesterCity,Southampton,1,2,A,2018-2019
WestHamUnited,Arsenal,1,0,H,2018-2019
Everton,AFCBournemouth,2,0,H,2018-2019
TottenhamHotspur,ManchesterUnited,0,1,A,2018-2019
ManchesterCity,WolverhamptonWanderers,3,0,H,2018-2019
Arsenal,Chelsea,2,0,H,2018-2019
AFCBournemouth,WestHamUnited,2,0,H,2018-2019
Liverpool,CrystalPalace,4,3,H,2018-2019
ManchesterUnited,BrightonandHoveAlbion,2,1,H,2018-2019
NewcastleUnited,CardiffCity,3,0,H,2018-2019
Southampton,Everton,2,1,H,2018-2019
Watford,Burnley,0,0,D,2018-2019
WolverhamptonWanderers,LeicesterCity,4,3,H,2018-2019
Fulham,TottenhamHotspur,1,2,A,2018-2019
HuddersfieldTownAFC,ManchesterCity,0,3,A,2018-2019
Arsenal,CardiffCity,2,1,H,2018-2019
Fulham,BrightonandHoveAlbion,4,2,H,2018-2019
HuddersfieldTownAFC,Everton,0,1,A,2018-2019
ManchesterUnited,Burnley,2,2,D,2018-2019
NewcastleUnited,ManchesterCity,2,1,H,2018-2019
WolverhamptonWanderers,WestHamUnited,3,0,H,2018-2019
AFCBournemouth,Chelsea,4,0,H,2018-2019
Liverpool,LeicesterCity,1,1,D,2018-2019
Southampton,CrystalPalace,1,1,D,2018-2019
TottenhamHotspur,Watford,2,1,H,2018-2019
BrightonandHoveAlbion,Watford,0,0,D,2018-2019
Burnley,Southampton,1,1,D,2018-2019
CardiffCity,AFCBournemouth,2,0,H,2018-2019
Chelsea,HuddersfieldTownAFC,5,0,H,2018-2019
CrystalPalace,Fulham,2,0,H,2018-2019
Everton,WolverhamptonWanderers,1,3,A,2018-2019
TottenhamHotspur,NewcastleUnited,1,0,H,2018-2019
LeicesterCity,ManchesterUnited,0,1,A,2018-2019
ManchesterCity,Arsenal,3,1,H,2018-2019
WestHamUnited,Liverpool,1,1,D,2018-2019
